年龄,传统就业,创业脉冲,连续创业,AI协作,资本复利
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,5.5,0.1,0.0,0.0,0.0
24,11.1,0.8,10.0,0.0,0.0
25,16.6,3.9,13.4,0.0,0.0
26,22.2,11.4,16.7,0.0,0.0
27,27.7,20.1,20.1,0.0,0.0
28,33.2,21.8,23.4,0.0,0.0
29,38.8,19.4,26.8,0.0,2.5
30,44.3,15.2,29.2,0.0,2.6
31,49.8,10.5,31.6,25.0,2.7
32,55.4,13.4,34.0,32.4,2.8
33,60.9,39.0,36.4,39.2,3.0
34,66.5,68.4,38.7,44.9,3.1
35,72.0,74.7,41.1,49.4,3.2
36,69.1,70.9,43.5,52.8,3.3
37,66.2,63.7,43.2,55.4,3.5
38,63.4,54.0,38.5,57.3,3.6
39,60.5,43.3,33.7,58.9,3.8
40,57.6,32.8,29.0,60.3,4.0
41,54.7,23.5,24.2,61.5,4.1
42,51.8,17.7,19.4,62.5,4.3
43,49.0,14.4,21.2,63.6,4.5
44,46.1,9.4,25.7,64.5,4.7
45,43.2,4.9,30.3,65.5,4.9
46,40.3,5.0,34.8,66.5,5.1
47,37.4,14.6,39.3,67.4,5.3
48,34.6,25.5,43.6,68.3,5.5
49,31.7,27.5,47.8,69.3,5.7
50,28.8,22.4,52.0,70.2,6.0
51,25.9,14.6,56.2,71.1,6.2
52,23.0,9.6,60.4,72.1,6.5
53,20.2,32.6,64.7,73.0,6.8
54,17.3,66.7,58.0,73.9,7.1
55,14.4,82.0,50.5,74.8,7.4
56,11.5,80.4,42.9,75.8,7.7
57,8.6,76.4,35.3,76.7,8.0
58,5.8,70.4,31.3,77.6,8.4
59,2.9,62.7,35.8,78.6,8.7
60,0.0,54.2,40.3,79.5,9.1
61,0.0,45.3,44.8,80.4,9.5
62,0.0,36.7,49.3,81.3,9.9
63,0.0,28.8,54.8,82.3,10.3
64,0.0,21.9,60.5,83.2,10.7
65,0.0,16.1,66.1,84.1,11.2
66,0.0,16.0,71.8,85.1,88.0
67,0.0,38.1,77.4,86.0,88.0
68,0.0,54.4,82.9,86.9,88.0
69,0.0,54.0,74.1,87.8,88.0
70,0.0,50.2,65.2,88.8,88.0
71,0.0,44.0,56.4,89.7,88.0
72,0.0,36.5,47.5,90.6,88.0
73,0.0,28.6,44.0,91.6,88.0
74,0.0,21.2,44.0,92.5,88.0
75,0.0,14.8,44.0,93.4,88.0
76,0.0,9.8,44.0,94.3,88.0
77,0.0,6.1,44.0,95.3,88.0
78,0.0,3.6,44.0,96.0,88.0
79,0.0,2.0,44.0,96.0,88.0
80,0.0,1.1,44.0,96.0,88.0
81,0.0,0.5,44.0,96.0,88.0
82,0.0,0.2,44.0,96.0,88.0
83,0.0,0.1,44.0,96.0,88.0
84,0.0,0.0,44.0,96.0,88.0
85,0.0,0.0,44.0,96.0,88.0
